Prot_97,Prot_3657
Prot_97,Prot_2061
Prot_97,Prot_6950
Prot_97,Prot_3365
Prot_97,Prot_4264
Prot_97,Prot_7000
Prot_97,Prot_7729
Prot_97,Prot_7967
Prot_97,Prot_8907
Prot_97,Prot_5454
Prot_97,Prot_3071
Prot_97,Prot_6263
Prot_97,Prot_9294
Prot_97,Prot_5697
Prot_97,Prot_4705
Prot_97,Prot_8722
Prot_98,Prot_8706
Prot_98,Prot_9592
Prot_98,Prot_6718
Prot_98,Prot_5566
Prot_99,Prot_9630
Prot_100,Prot_9378
Prot_101,Prot_2583
Prot_101,Prot_7663
Prot_101,Prot_6836
Prot_101,Prot_9521
Prot_101,Prot_7611
Prot_101,Prot_7074
Prot_101,Prot_857
Prot_101,Prot_826
Prot_102,Prot_1720
Prot_102,Prot_8208
Prot_102,Prot_6185
Prot_102,Prot_199
Prot_103,Prot_1365
Prot_103,Prot_3512
Prot_103,Prot_9235
Prot_103,Prot_4645
Prot_103,Prot_6619
Prot_103,Prot_232
Prot_103,Prot_8276
Prot_103,Prot_2509
Prot_103,Prot_1597
Prot_103,Prot_4096
Prot_103,Prot_3429
Prot_103,Prot_7998
Prot_103,Prot_6079
Prot_103,Prot_6558
Prot_103,Prot_7117
Prot_103,Prot_5110
Prot_103,Prot_1744
Prot_103,Prot_7370
Prot_103,Prot_856
Prot_103,Prot_1311
Prot_103,Prot_9630
Prot_103,Prot_6255
Prot_103,Prot_4672
Prot_103,Prot_3152
Prot_103,Prot_9467
Prot_103,Prot_9186
Prot_103,Prot_4808
Prot_103,Prot_9328
Prot_103,Prot_6267
Prot_103,Prot_4119
Prot_103,Prot_4751
Prot_103,Prot_5635
Prot_103,Prot_8315
Prot_103,Prot_334
Prot_103,Prot_3085
Prot_103,Prot_9729
Prot_103,Prot_6421
Prot_103,Prot_6423
Prot_103,Prot_2730
Prot_103,Prot_2485
Prot_103,Prot_6914
Prot_103,Prot_2733
Prot_103,Prot_5812
Prot_103,Prot_6302
Prot_103,Prot_9812
Prot_103,Prot_9214
Prot_103,Prot_830
Prot_103,Prot_9963
Prot_103,Prot_6132
Prot_103,Prot_6216
Prot_104,Prot_7433
